player_id,full_name,position,team,week,fanduel_points,opponent,home_team,away_team,prev_fanduel_points,mean_fanduel_points,prev_fumbles_lost,mean_fumbles_lost,prev_fumbles_tot,mean_fumbles_tot,prev_passing_att,mean_passing_att,prev_passing_cmp,mean_passing_cmp,prev_passing_cmp_air_yds,mean_passing_cmp_air_yds,prev_passing_incmp,mean_passing_incmp,prev_passing_incmp_air_yds,mean_passing_incmp_air_yds,prev_passing_int,mean_passing_int,prev_passing_sk,mean_passing_sk,prev_passing_sk_yds,mean_passing_sk_yds,prev_passing_tds,mean_passing_tds,prev_passing_yds,mean_passing_yds,prev_receiving_rec,mean_receiving_rec,prev_receiving_tar,mean_receiving_tar,prev_receiving_tds,mean_receiving_tds,prev_receiving_yac_yds,mean_receiving_yac_yds,prev_receiving_yds,mean_receiving_yds,prev_rushing_att,mean_rushing_att,prev_rushing_loss,mean_rushing_loss,prev_rushing_loss_yds,mean_rushing_loss_yds,prev_rushing_tds,mean_rushing_tds,prev_rushing_yds,mean_rushing_yds
00-0022740,Jared Allen,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023252,Robbie Gould,K,CHI,1,14.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023443,Antrel Rolle,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023459,Aaron Rodgers,QB,GB,1,23.06,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024226,Jay Cutler,QB,CHI,1,15.1,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025465,James Jones,UNK,UNK,1,19.1,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025512,Jermon Bushrod,T,MIA,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025580,Mason Crosby,K,GB,1,7.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025624,Alan Ball,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026182,Eddie Royal,WR,CHI,1,1.3,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026184,Matt Forte,RB,NYJ,1,25.1,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026201,Martellus Bennett,TE,NE,1,14.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026500,Matt Slauson,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026664,Tim Masthay,P,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026985,B.J. Raji,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027002,Clay Matthews,ILB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027125,Zach Miller,TE,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027440,Sam Shields,CB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027664,Mike Neal,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027667,Vladimir Ducasse,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027743,Sherrick McManis,CB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027791,James Starks,RB,GB,1,0.2,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027808,Willie Young,OLB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027816,Marc Mariani,WR,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027875,Bryan Bulaga,T,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027979,Jarvis Jenkins,DT,NYJ,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028002,Randall Cobb,WR,GB,1,12.3,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028083,Jacquizz Rodgers,RB,CHI,1,1.6,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0028103,Pernell McPhee,OLB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029137,Alshon Jeffery,WR,CHI,1,10.3,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029201,Sean Richardson,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029250,Shea McClellin,LB,NE,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029261,Casey Hayward,DB,SD,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029284,Mike Daniels,DE,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029408,Nick Perry,OLB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030047,Marquess Wilson,WR,CHI,1,6.9,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030074,David Bakhtiari,T,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030090,Micah Hyde,SS,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030093,Josh Boyd,UNK,UNK,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030104,Nate Palmer,LB,TEN,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030119,Sam Barrington,ILB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030275,Demontre Hurst,CB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030485,Eddie Lacy,RB,GB,1,16.9,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030752,Jay Elliott,LB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031041,Kyle Fuller,CB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031079,Pat O'Donnell,P,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031130,Christian Jones,ILB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031333,Ha Ha Clinton-Dix,FS,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031354,Lamin Barrow,LB,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031381,Davante Adams,WR,GB,1,7.9,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031384,Richard Rodgers,TE,GB,1,5.3,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031551,Eddie Goldman,NT,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031569,Jeremy Langford,RB,CHI,1,0.1,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031578,Jake Ryan,ILB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031584,Adrian Amos,FS,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031612,Aaron Ripkowski,FB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031937,Quinten Rollins,CB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031989,Harold Jones-Quartey,SS,CHI,1,0.0,GB,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0032200,Ty Montgomery,WR,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0032251,Damarious Randall,CB,GB,1,0.0,CHI,CHI,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0023742,Jon Ryan,P,SEA,1,0.0,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0024204,Fred Jackson,UNK,UNK,1,3.4,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025399,Marshawn Lynch,RB,SEA,1,12.9,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025472,Brandon Mebane,DT,SD,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0025944,Steven Hauschka,K,SEA,1,9.0,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026142,Chris Long,DE,NE,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026232,Cliff Avril,DE,SEA,1,0.0,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026243,William Hayes,UNK,UNK,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026330,Ahtyba Rubin,DT,SEA,1,0.0,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026369,Cary Williams,UNK,UNK,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0026618,Michael Bennett,DE,SEA,1,0.0,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027006,Kenny Britt,UNK,UNK,1,4.7,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027011,James Laurinaitis,LB,NO,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027061,Jared Cook,TE,GB,1,11.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027648,Rodger Saffold,UNK,UNK,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027696,Jimmy Graham,TE,SEA,1,14.1,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027787,Eugene Sims,UNK,UNK,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027866,Earl Thomas,FS,SEA,1,0.0,STL,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027951,Nick Fairley,DT,NO,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027952,Robert Quinn,UNK,UNK,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027977,Akeem Ayers,UNK,UNK,1,0.0,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0027985,Lance Kendricks,UNK,UNK,1,11.2,SEA,STL,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
